"","feature","p.value","test.accuracy"
"1","","0","0"
"2","height","0.19","0.96875"
"3","height","0.2","0.96875"
"4","height","0.21","0.975"
"5","height","0.22","0.975"
"6","height","0.23","0.975"
"7","height","0.24","0.975"
"8","height","0.25","0.975"
"9","height","0.26","0.975"
"10","height","0.27","0.975"
"11","height","0.28","0.975"
"12","height","0.29","0.975"
"13","height","0.3","0.96875"
"14","height","0.31","0.96875"
"15","height","0.32","0.96875"
"16","height","0.33","0.96875"
"17","height","0.34","0.96875"
"18","height","0.35","0.96875"
"19","height","0.36","0.96875"
"20","height","0.37","0.96875"
"21","height","0.38","0.96875"
"22","height","0.39","0.96875"
"23","height","0.4","0.96875"
"24","height","0.41","0.96875"
"25","height","0.42","0.96875"
"26","height","0.43","0.96875"
"27","height","0.44","0.96875"
"28","height","0.45","0.96875"
"29","rows_wth_5","0.34","0.96875"
"30","rows_wth_5","0.35","0.96875"
"31","rows_wth_5","0.36","0.96875"
"32","rows_wth_5","0.37","0.96875"
"33","rows_wth_5","0.38","0.96875"
"34","rows_wth_5","0.39","0.96875"
"35","rows_wth_5","0.4","0.96875"
"36","rows_wth_5","0.41","0.96875"
"37","rows_wth_5","0.42","0.96875"
"38","rows_wth_5","0.43","0.96875"
"39","rows_wth_5","0.44","0.96875"
"40","rows_wth_5","0.45","0.96875"
"41","rows_wth_5","0.46","0.96875"
"42","rows_wth_5","0.47","0.96875"
"43","rows_wth_5","0.48","0.96875"
"44","rows_wth_5","0.49","0.96875"
"45","rows_wth_5","0.5","0.96875"
"46","rows_wth_5","0.51","0.975"
"47","rows_wth_5","0.52","0.975"
"48","rows_wth_5","0.53","0.975"
"49","rows_wth_5","0.54","0.975"
"50","rows_wth_5","0.55","0.96875"
"51","rows_wth_5","0.56","0.96875"
"52","rows_wth_5","0.57","0.96875"
"53","rows_wth_5","0.58","0.96875"
"54","rows_wth_5","0.59","0.96875"
"55","rows_wth_5","0.6","0.96875"
"56","rows_wth_5","0.61","0.96875"
"57","rows_wth_5","0.62","0.96875"
"58","rows_wth_5","0.63","0.96875"
"59","rows_wth_5","0.64","0.96875"
"60","neigh1","0.14","0.96875"
"61","neigh1","0.15","0.96875"
"62","neigh1","0.16","0.96875"
"63","neigh1","0.17","0.96875"
"64","neigh1","0.23","0.96875"
"65","neigh1","0.24","0.96875"
"66","neigh1","0.25","0.96875"
"67","neigh1","0.26","0.96875"
"68","neigh1","0.27","0.96875"
"69","neigh1","0.28","0.96875"
"70","neigh1","0.29","0.96875"
"71","neigh1","0.3","0.96875"
"72","neigh1","0.31","0.96875"
"73","neigh1","0.32","0.96875"
"74","neigh1","0.33","0.975"
"75","neigh1","0.34","0.975"
"76","neigh1","0.35","0.975"
"77","neigh1","0.36","0.975"
"78","neigh1","0.37","0.975"
"79","neigh1","0.38","0.975"
"80","neigh1","0.39","0.975"
"81","neigh1","0.4","0.975"
"82","neigh1","0.41","0.975"
"83","neigh1","0.42","0.975"
"84","neigh1","0.43","0.975"
"85","neigh1","0.44","0.975"
"86","neigh1","0.45","0.975"
"87","neigh1","0.46","0.975"
"88","neigh1","0.47","0.975"
"89","neigh1","0.48","0.975"
"90","neigh1","0.49","0.96875"
"91","neigh1","0.5","0.96875"
"92","neigh1","0.51","0.96875"
"93","neigh1","0.52","0.96875"
"94","neigh1","0.53","0.96875"
"95","neigh1","0.54","0.96875"
"96","neigh1","0.55","0.96875"
"97","top2tile","0.54","0.96875"
"98","top2tile","0.55","0.96875"
"99","top2tile","0.56","0.96875"
"100","top2tile","0.57","0.96875"
"101","top2tile","0.58","0.96875"
"102","top2tile","0.59","0.96875"
"103","top2tile","0.6","0.96875"
"104","horizontal3tile","0.26","0.96875"
"105","horizontal3tile","0.27","0.96875"
"106","horizontal3tile","0.28","0.96875"
"107","horizontal3tile","0.29","0.96875"
"108","horizontal3tile","0.3","0.96875"
"109","horizontal3tile","0.31","0.96875"
"110","horizontal3tile","0.32","0.96875"
"111","horizontal3tile","0.33","0.96875"
"112","horizontal3tile","0.34","0.96875"
"113","horizontal3tile","0.35","0.96875"
"114","horizontal3tile","0.36","0.975"
"115","horizontal3tile","0.37","0.975"
"116","horizontal3tile","0.38","0.975"
"117","horizontal3tile","0.39","0.975"
"118","horizontal3tile","0.4","0.975"
"119","horizontal3tile","0.41","0.975"
"120","horizontal3tile","0.42","0.975"
"121","horizontal3tile","0.43","0.975"
"122","horizontal3tile","0.44","0.975"
"123","horizontal3tile","0.45","0.975"
"124","horizontal3tile","0.46","0.975"
"125","horizontal3tile","0.47","0.96875"
"126","nr_eyes","0.62","0.96875"
